segment,dateApp,dateDepart,dateReturn,ZipCode,Country,tripCost,travelersCount,nightsCount
Premium,2022-09-12,2022-09-30,2022-10-04,17477,UK,391.24,1,4
Standard,2024-04-15,2024-05-10,2024-05-15,97472,Australia,264.57,3,5
Economy,2023-07-15,2023-08-01,2023-08-04,57654,US,295.76,1,3
Standard,2022-12-14,2022-12-26,2022-12-30,53424,US,418.08,1,4
Premium,2023-08-06,2023-08-14,2023-08-17,75456,US,414.61,1,3
Economy,2024-11-18,2024-12-05,2024-12-10,89016,UK,525.54,1,5
Economy,2024-06-26,2024-07-15,2024-07-20,23819,US,631.28,3,5
Economy,2023-05-10,2023-05-21,2023-05-27,02540,US,603.58,1,6
Standard,2022-03-18,2022-03-26,2022-03-29,62070,US,158.37,1,3
Economy,2023-12-03,2023-12-14,2023-12-20,40768,US,405.41,3,6
Standard,2022-01-28,2022-02-09,2022-02-15,13356,US,444.61,2,6
Standard,2022-12-25,2023-01-10,2023-01-17,84874,US,908.73,1,7
Premium,2024-11-10,2024-11-29,2024-12-03,70539,US,431.48,1,4
Economy,2023-07-25,2023-08-13,2023-08-16,74691,US,355.61,2,3
Standard,2023-05-13,2023-05-20,2023-05-22,78139,US,183.85,1,2
Standard,2022-12-13,2022-12-19,2022-12-21,64332,US,115.97,2,2
Economy,2022-01-14,2022-01-26,2022-01-29,45056,US,309.06,2,3
Economy,2024-07-21,2024-08-02,2024-08-05,99901,US,335.62,1,3
Standard,2022-08-13,2022-08-30,2022-09-04,25443,US,556.21,5,5
Premium,2023-04-08,2023-04-20,2023-04-22,98669,US,239.15,2,2
Economy,2024-12-10,2024-12-25,2024-12-29,62616,US,427.93,4,4
Economy,2022-04-03,2022-04-17,2022-04-22,73147,US,614.34,1,5
Economy,2024-01-10,2024-01-28,2024-02-01,56207,US,173.72,3,4
Economy,2024-02-07,2024-02-22,2024-02-24,59048,US,217.04,1,2
Economy,2023-08-06,2023-08-18,2023-08-20,77304,US,225.78,2,2
Standard,2024-03-16,2024-04-07,2024-04-09,16299,US,170.56,1,2
Standard,2023-01-01,2023-01-14,2023-01-18,96276,US,555.49,3,4
Standard,2022-11-01,2022-11-10,2022-11-17,05273,US,1356.61,1,7
Economy,2022-08-03,2022-08-17,2022-08-20,11959,US,210.10,3,3
Economy,2023-06-15,2023-06-27,2023-06-29,04809,US,126.33,2,2
Premium,2023-01-20,2023-02-01,2023-02-04,71118,US,303.15,2,3
Economy,2022-03-15,2022-03-29,2022-04-02,91521,US,474.72,1,4
Economy,2022-01-29,2022-02-14,2022-02-20,29451,,637.68,1,6
Economy,2024-10-16,2024-10-30,2024-11-03,50277,US,542.19,2,4
Premium,2023-12-30,2024-01-16,2024-01-18,66550,US,79.31,1,2
Economy,2023-12-10,2023-12-26,2023-12-30,24727,,316.00,4,4
Economy,2022-10-09,2022-10-22,2022-10-25,49968,US,410.55,3,3
Premium,2024-04-15,2024-05-04,2024-05-08,57711,US,266.44,3,4
Economy,2022-04-15,2022-05-03,2022-05-08,88389,Australia,497.60,1,5
Standard,2023-05-10,2023-05-22,2023-05-28,29817,US,655.04,4,6
Standard,2023-07-09,2023-07-18,2023-07-26,06028,US,816.84,3,8
Economy,2022-03-19,2022-04-01,2022-04-04,50140,US,280.36,2,3
Standard,2022-10-11,2022-10-25,2022-11-01,57898,Spain,599.70,1,7
Standard,2024-06-02,2024-06-16,2024-06-18,86275,US,173.52,1,2
Economy,2024-10-09,2024-10-31,2024-11-03,32850,US,348.67,1,3
Economy,2024-06-26,2024-07-12,2024-07-17,95991,US,434.86,2,5
Economy,2022-08-19,2022-09-06,2022-09-09,63156,,248.72,1,3
Standard,2022-12-14,2023-01-03,2023-01-07,52089,,401.87,2,4
Economy,2024-09-13,2024-09-26,2024-09-27,88125,US,82.13,2,1
Economy,2023-05-08,2023-05-24,2023-05-29,84889,US,281.20,2,5
Premium,2024-10-05,2024-10-18,2024-10-22,59459,US,236.56,1,4
Economy,2023-12-15,2024-01-01,2024-01-06,28477,US,279.01,2,5
Standard,2022-08-19,2022-08-29,2022-09-02,02799,US,242.84,2,4
Standard,2023-02-22,2023-03-05,2023-03-09,78116,US,428.11,2,4
Standard,2024-12-04,2024-12-14,2024-12-17,01947,US,249.60,1,3
Economy,2024-08-20,2024-09-04,2024-09-07,47453,US,267.61,1,3
Premium,2022-06-08,2022-06-22,2022-06-23,60036,US,105.85,1,1
Economy,2022-02-05,2022-02-18,2022-02-24,81830,US,706.65,1,6
Standard,2023-11-05,2023-11-17,2023-11-21,91983,US,347.84,1,4
Standard,2024-03-30,2024-04-19,2024-04-27,95631,US,957.68,1,8
Economy,2023-06-26,2023-07-12,2023-07-14,12219,US,166.58,3,2
Economy,2024-07-19,2024-08-01,2024-08-02,98341,US,65.53,3,1
Standard,2023-01-19,2023-01-28,2023-01-30,72910,US,171.86,1,2
Standard,2024-08-01,2024-08-16,2024-08-24,86223,Germany,914.96,1,8
Economy,2022-11-29,2022-12-09,2022-12-12,74228,US,205.99,3,3
Economy,2022-04-07,2022-04-24,2022-04-26,42517,France,160.83,1,2
Standard,2023-12-07,2023-12-17,2023-12-22,57939,US,596.45,1,5
Economy,2022-09-11,2022-09-25,2022-09-27,78554,US,149.00,1,2
Economy,2022-08-16,2022-09-09,2022-09-15,56446,US,498.63,1,6
Economy,2023-05-05,2023-05-22,2023-05-29,10205,Australia,1013.05,1,7
Economy,2023-12-08,2023-12-23,2023-12-27,81018,US,487.04,1,4
Premium,2024-06-03,2024-06-16,2024-06-18,29041,US,183.59,2,2
Economy,2022-07-28,2022-08-11,2022-08-15,84599,UK,423.70,2,4
Standard,2022-10-08,2022-10-18,2022-10-23,98886,US,456.33,1,5
Economy,2023-12-10,2023-12-26,2023-12-31,41436,US,435.30,5,5
Economy,2022-04-09,2022-04-22,2022-04-25,37627,US,235.41,1,3
Standard,2024-11-29,2024-12-19,2024-12-23,05376,US,396.03,2,4
Premium,2024-09-18,2024-10-04,2024-10-08,93626,US,443.26,1,4
Premium,2024-03-27,2024-04-04,2024-04-09,44350,US,522.15,1,5
Premium,2022-03-10,2022-03-26,2022-03-29,78997,Australia,256.76,4,3
Standard,2023-02-17,2023-03-04,2023-03-07,77993,US,337.37,1,3
Premium,2022-05-05,2022-05-20,2022-05-23,12249,US,246.89,3,3
Premium,2023-06-26,2023-07-09,2023-07-11,29693,,84.05,1,2
Standard,2022-07-19,2022-07-31,2022-08-04,81006,US,391.28,3,4
Economy,2023-05-07,2023-05-17,2023-05-23,53852,US,417.04,1,6
Premium,2024-06-24,2024-07-11,2024-07-14,88907,Spain,428.32,1,3
Economy,2023-05-11,2023-05-25,2023-06-01,84040,US,634.25,1,7
Economy,2023-04-14,2023-05-07,2023-05-11,57340,US,451.09,1,4
Economy,2023-04-29,2023-05-12,2023-05-15,43947,France,322.30,2,3
Economy,2022-07-04,2022-07-16,2022-07-21,33544,US,462.39,1,5
Economy,2022-07-02,2022-07-26,2022-07-30,31252,US,295.12,1,4
Economy,2024-08-25,2024-09-08,2024-09-17,56261,US,1169.38,1,9
Economy,2023-03-22,2023-04-06,2023-04-11,71313,US,515.51,4,5
Standard,2023-08-02,2023-08-18,2023-08-21,76271,US,316.53,2,3
Standard,2023-02-23,2023-03-03,2023-03-09,17675,US,466.08,2,6
Standard,2024-08-13,2024-08-27,2024-08-28,71176,US,156.18,5,1
Standard,2022-02-11,2022-02-27,2022-03-04,52431,US,575.72,1,5
Standard,2023-08-23,2023-09-06,2023-09-10,71496,US,394.18,3,4
Economy,2022-06-05,2022-06-17,2022-06-21,58606,US,359.87,1,4
Standard,2024-12-11,2024-12-23,2024-12-26,98290,US,328.05,1,3
Standard,2024-08-12,2024-08-30,2024-09-02,48623,US,290.48,2,3
Standard,2024-08-02,2024-08-17,2024-08-20,50723,Mexico,300.09,1,3
Standard,2022-06-11,2022-06-29,2022-07-01,26237,US,224.54,5,2
Economy,2024-11-21,2024-12-04,2024-12-08,08511,US,319.83,1,4
Economy,2022-12-18,2022-12-30,2023-01-05,29391,US,336.21,1,6
Standard,2022-08-27,2022-09-06,2022-09-07,11300,US,69.35,2,1
Standard,2023-06-01,2023-06-18,2023-06-21,41553,US,399.28,1,3
Premium,2023-07-16,2023-08-01,2023-08-09,07263,Germany,719.07,1,8
Economy,2023-09-24,2023-10-06,2023-10-09,35972,US,263.41,4,3
Standard,2022-12-29,2023-01-12,2023-01-14,73874,US,241.52,2,2
Economy,2024-12-09,2024-12-18,2024-12-24,81016,US,781.29,2,6
Economy,2023-08-24,2023-09-08,2023-09-15,63471,US,680.00,1,7
Economy,2023-03-06,2023-03-16,2023-03-19,99701,US,327.91,1,3
Economy,2023-11-28,2023-12-10,2023-12-13,32541,,350.96,2,3
Economy,2024-07-01,2024-07-12,2024-07-20,59930,,894.63,1,8
Standard,2022-09-12,2022-09-24,2022-09-28,56482,US,336.17,3,4
Economy,2022-11-21,2022-12-04,2022-12-08,59028,US,307.02,1,4
Standard,2022-12-11,2022-12-21,2022-12-24,66731,US,205.83,1,3
Economy,2022-02-26,2022-03-06,2022-03-13,18321,US,1050.68,3,7
Standard,2024-01-29,2024-02-08,2024-02-14,39294,US,454.58,2,6
Premium,2022-01-13,2022-01-25,2022-01-29,82478,US,560.75,3,4
Standard,2023-08-04,2023-08-22,2023-08-28,19369,Germany,701.17,3,6
Economy,2022-10-13,2022-10-28,2022-10-30,26724,US,261.81,1,2
Standard,2024-08-04,2024-08-26,2024-08-28,22699,US,166.54,1,2
Standard,2023-10-08,2023-10-23,2023-10-31,63462,US,1062.51,1,8
Economy,2022-10-20,2022-11-04,2022-11-07,94589,US,281.72,4,3
Standard,2022-06-17,2022-07-03,2022-07-06,57983,US,237.11,1,3
Standard,2024-07-23,2024-08-03,2024-08-06,06653,US,295.11,1,3
Economy,2023-10-03,2023-10-19,2023-10-23,00679,,447.65,2,4
Standard,2024-12-17,2024-12-31,2025-01-06,30437,US,588.44,2,6
Economy,2024-06-20,2024-07-14,2024-07-16,52034,France,217.03,3,2
Premium,2022-08-09,2022-08-26,2022-08-29,59552,,269.49,1,3
Economy,2023-10-26,2023-11-09,2023-11-17,21298,US,1059.31,1,8
Economy,2024-03-27,2024-04-08,2024-04-13,42982,US,363.25,1,5
Economy,2024-05-02,2024-05-13,2024-05-16,98796,US,231.29,1,3
Economy,2023-02-11,2023-02-26,2023-03-01,89925,US,309.57,1,3
Standard,2022-06-14,2022-06-29,2022-07-01,54505,US,273.95,2,2
Economy,2024-10-02,2024-10-20,2024-10-25,14707,US,348.75,3,5
Standard,2023-11-02,2023-11-16,2023-11-18,26922,US,190.22,1,2
Standard,2023-08-11,2023-09-01,2023-09-02,40392,US,72.23,2,1
Economy,2023-05-28,2023-06-16,2023-06-21,07897,Italy,581.61,1,5
Premium,2022-04-10,2022-04-23,2022-04-29,49479,US,504.67,1,6
Economy,2024-05-20,2024-06-05,2024-06-10,69316,US,396.41,1,5
Standard,2023-06-27,2023-07-10,2023-07-14,86533,US,476.91,1,4
Standard,2024-08-08,2024-08-19,2024-08-20,97064,US,147.24,1,1
Premium,2023-07-09,2023-07-23,2023-07-28,68321,US,538.29,5,5
Standard,2022-12-31,2023-01-08,2023-01-16,64962,US,666.30,1,8
Economy,2023-03-07,2023-03-23,2023-03-27,31584,Canada,329.20,1,4
Economy,2022-12-22,2023-01-08,2023-01-10,58954,Canada,223.01,2,2
Economy,2022-05-16,2022-06-02,2022-06-05,94936,US,178.25,2,3
Economy,2022-09-16,2022-09-27,2022-09-30,97186,US,208.09,1,3
Economy,2024-01-14,2024-01-25,2024-01-29,67215,Japan,309.61,1,4
Economy,2023-07-27,2023-08-14,2023-08-20,05992,US,726.27,1,6
Standard,2022-09-24,2022-10-04,2022-10-08,85800,Spain,352.98,1,4
Economy,2023-02-21,2023-03-11,2023-03-17,46160,US,728.55,2,6
Standard,2024-06-27,2024-07-11,2024-07-15,87584,US,424.47,4,4
Standard,2022-04-11,2022-04-21,2022-04-25,63334,US,409.46,4,4
Standard,2022-01-09,2022-01-23,2022-01-24,56436,UK,79.97,2,1
Economy,2022-07-15,2022-07-26,2022-08-02,53218,US,667.97,1,7
Standard,2022-10-13,2022-10-29,2022-10-30,10837,US,79.63,2,1
Economy,2023-06-30,2023-07-18,2023-07-22,74289,US,479.29,3,4
Economy,2022-03-07,2022-03-16,2022-03-25,76943,US,1406.17,4,9
Standard,2024-09-26,2024-10-15,2024-10-18,88740,Brazil,335.39,3,3
Standard,2023-02-13,2023-03-02,2023-03-06,80460,,501.16,1,4
Premium,2023-06-05,2023-06-17,2023-06-21,89088,US,435.49,1,4
Standard,2023-05-04,2023-05-22,2023-05-25,51068,US,291.74,1,3
Economy,2022-06-07,2022-06-20,2022-06-22,53483,US,248.58,2,2
Standard,2022-05-13,2022-05-28,2022-06-04,73339,Brazil,880.33,2,7
Economy,2023-05-13,2023-05-23,2023-05-27,63469,France,408.01,1,4
Economy,2023-03-27,2023-04-20,2023-04-24,81289,US,347.92,1,4
Standard,2024-12-04,2024-12-17,2024-12-24,79064,Spain,724.71,1,7
Economy,2022-08-25,2022-09-06,2022-09-11,51502,US,417.24,3,5
Standard,2022-08-04,2022-08-21,2022-08-23,53627,US,182.90,1,2
Standard,2022-07-06,2022-07-18,2022-07-20,70040,US,160.92,2,2
Economy,2024-08-23,2024-09-05,2024-09-09,86193,US,476.24,2,4
Standard,2022-07-25,2022-08-09,2022-08-14,12924,US,609.77,1,5
Economy,2023-09-13,2023-09-27,2023-10-01,77147,US,381.42,2,4
Economy,2022-07-15,2022-07-27,2022-07-29,68303,US,194.24,2,2
Standard,2023-08-10,2023-08-23,2023-08-26,44967,US,231.13,1,3
Premium,2024-05-17,2024-05-27,2024-05-30,53090,US,351.42,1,3
Economy,2022-08-10,2022-08-26,2022-09-01,00583,US,762.34,1,6
Economy,2022-08-24,2022-09-10,2022-09-11,34387,US,111.16,1,1
Economy,2023-08-20,2023-09-02,2023-09-04,88288,US,176.83,1,2
Standard,2022-12-21,2023-01-05,2023-01-07,54819,US,189.16,1,2
Premium,2023-12-09,2023-12-22,2023-12-26,21871,US,459.78,1,4
Standard,2022-07-06,2022-07-18,2022-07-19,66248,US,113.52,4,1
Standard,2023-06-13,2023-06-27,2023-07-01,28905,US,403.26,2,4
Economy,2022-12-04,2022-12-18,2022-12-22,71186,Germany,412.61,1,4
Economy,2023-04-13,2023-04-30,2023-05-07,58947,US,480.04,5,7
Standard,2024-12-08,2024-12-17,2024-12-19,79988,US,220.40,3,2
Economy,2022-07-30,2022-08-09,2022-08-11,70617,US,279.21,1,2
Standard,2024-10-01,2024-10-11,2024-10-14,19168,US,281.28,1,3
Economy,2024-10-06,2024-10-24,2024-10-28,59243,US,543.92,1,4
Economy,2024-08-22,2024-09-09,2024-09-15,96039,US,718.50,2,6
Economy,2024-11-12,2024-11-30,2024-12-04,17117,US,323.27,1,4
Economy,2023-08-18,2023-08-30,2023-09-06,56072,US,945.51,1,7
Economy,2024-06-05,2024-06-15,2024-06-17,32819,US,269.48,2,2
Economy,2024-04-19,2024-05-05,2024-05-10,27973,US,504.35,1,5
Standard,2022-07-01,2022-07-12,2022-07-13,55353,US,73.54,5,1
Premium,2023-08-13,2023-08-24,2023-08-27,88753,US,198.23,2,3
Standard,2023-10-12,2023-10-18,2023-10-22,53963,US,523.13,1,4
Economy,2023-07-14,2023-07-25,2023-07-27,32477,US,194.17,2,2
Standard,2022-05-04,2022-05-19,2022-05-24,86298,Japan,384.57,3,5
Economy,2022-08-25,2022-09-09,2022-09-12,31599,US,328.09,1,3
Standard,2023-12-24,2024-01-07,2024-01-09,89514,US,113.15,1,2
Economy,2023-08-04,2023-08-19,2023-08-21,54451,US,247.78,2,2
Economy,2023-06-06,2023-06-22,2023-06-24,20365,US,184.04,4,2
Standard,2023-05-24,2023-06-09,2023-06-14,11300,Mexico,435.90,1,5
Economy,2022-06-13,2022-06-28,2022-07-03,17984,US,308.16,1,5
Premium,2022-07-20,2022-08-07,2022-08-09,03847,US,207.69,2,2
Economy,2023-06-30,2023-07-14,2023-07-18,21873,US,322.39,3,4
Premium,2022-11-09,2022-11-18,2022-11-24,61835,US,555.05,1,6
Economy,2022-02-07,2022-02-25,2022-03-02,41934,US,497.92,3,5
Economy,2022-04-25,2022-05-08,2022-05-15,40723,US,763.40,1,7
Standard,2023-11-10,2023-11-25,2023-11-30,25614,US,486.56,1,5
Economy,2023-10-27,2023-11-14,2023-11-18,49319,Canada,395.17,2,4
Economy,2024-07-08,2024-07-17,2024-07-20,93277,US,290.24,5,3
Standard,2022-03-01,2022-03-12,2022-03-16,83521,Germany,239.62,1,4
Standard,2022-04-18,2022-05-03,2022-05-06,96384,US,332.13,2,3
Economy,2023-07-23,2023-08-03,2023-08-05,15825,US,218.30,1,2
Standard,2022-11-25,2022-12-05,2022-12-10,42964,US,537.36,1,5
Standard,2024-06-26,2024-07-04,2024-07-08,08083,Germany,438.39,1,4
Standard,2023-04-23,2023-05-09,2023-05-14,08450,US,532.49,1,5
Economy,2024-03-16,2024-04-04,2024-04-06,65028,US,307.85,2,2
Premium,2024-05-27,2024-06-06,2024-06-08,81156,US,235.52,1,2
Standard,2024-03-23,2024-04-06,2024-04-10,32656,US,322.67,2,4
Standard,2024-09-04,2024-09-22,2024-09-28,74141,US,704.87,1,6
Premium,2023-05-26,2023-06-05,2023-06-07,76544,,203.10,1,2
Economy,2022-11-19,2022-12-08,2022-12-09,50911,US,91.45,3,1
Economy,2024-10-23,2024-11-11,2024-11-16,74403,US,410.52,2,5
Economy,2023-12-01,2023-12-12,2023-12-21,11830,US,428.36,1,9
Economy,2024-01-13,2024-01-20,2024-01-23,42413,US,323.78,3,3
Economy,2022-07-08,2022-07-25,2022-07-27,92345,Spain,157.20,1,2
Premium,2023-06-07,2023-06-16,2023-06-18,22833,US,284.02,2,2
Standard,2023-11-19,2023-12-10,2023-12-13,96206,US,257.90,1,3
Economy,2022-06-21,2022-07-08,2022-07-09,65035,US,157.56,2,1
Economy,2024-07-22,2024-08-02,2024-08-04,83768,US,137.68,2,2
Economy,2023-02-20,2023-03-08,2023-03-15,54266,US,879.40,1,7
Standard,2023-05-05,2023-05-20,2023-05-24,21319,US,431.99,2,4
Premium,2024-09-06,2024-09-17,2024-09-20,44295,US,315.73,5,3
Economy,2024-01-26,2024-02-09,2024-02-11,94638,Mexico,216.73,2,2
Economy,2023-10-18,2023-11-03,2023-11-05,11485,US,144.70,1,2
Standard,2024-04-16,2024-05-01,2024-05-04,52096,US,273.24,1,3
Standard,2023-05-22,2023-06-04,2023-06-06,19808,US,163.67,2,2
Standard,2024-05-01,2024-05-10,2024-05-14,50738,Germany,428.90,2,4
Premium,2023-06-21,2023-07-05,2023-07-09,65811,US,359.89,2,4
Economy,2023-09-20,2023-10-05,2023-10-07,21910,,203.01,4,2
Economy,2024-09-22,2024-10-02,2024-10-12,36202,US,1226.15,1,10
Standard,2023-12-14,2024-01-01,2024-01-03,13133,Mexico,220.25,4,2
Economy,2023-12-02,2023-12-11,2023-12-15,04910,US,316.73,2,4
Premium,2023-06-07,2023-06-22,2023-06-25,06460,US,339.15,2,3
Economy,2022-12-08,2022-12-22,2022-12-24,35313,US,289.83,3,2
Economy,2024-01-17,2024-01-26,2024-01-30,20836,US,602.20,1,4
Economy,2024-06-19,2024-07-02,2024-07-06,04334,US,494.06,1,4
Economy,2024-10-04,2024-10-18,2024-10-21,76923,US,435.77,3,3
Economy,2023-03-04,2023-03-23,2023-03-31,85404,US,831.45,1,8
Standard,2022-01-13,2022-01-31,2022-02-01,01109,US,117.24,2,1
Economy,2024-01-07,2024-01-31,2024-02-06,39602,US,832.06,1,6
Standard,2024-10-06,2024-10-19,2024-10-23,84848,US,280.75,1,4
Standard,2022-12-08,2022-12-24,2022-12-27,85389,US,272.54,4,3
Standard,2022-07-09,2022-07-27,2022-08-03,89228,US,825.50,2,7
Economy,2022-01-26,2022-02-09,2022-02-15,89957,US,875.86,2,6
Standard,2024-08-10,2024-09-01,2024-09-05,23741,US,393.94,3,4
Standard,2023-08-01,2023-08-18,2023-08-22,29272,US,602.59,1,4
Premium,2023-01-01,2023-01-19,2023-01-22,83151,US,247.36,1,3
Economy,2023-08-21,2023-09-10,2023-09-13,74632,Japan,324.84,1,3
Economy,2022-08-12,2022-08-21,2022-08-22,75534,US,89.22,2,1
Economy,2023-08-15,2023-09-02,2023-09-07,26137,US,233.78,1,5
Economy,2023-10-02,2023-10-19,2023-10-21,05992,US,273.95,1,2
Premium,2022-12-13,2022-12-30,2023-01-02,24697,US,368.68,1,3
Standard,2022-09-10,2022-09-17,2022-09-19,83928,US,198.70,1,2
Economy,2023-10-17,2023-10-25,2023-10-30,71733,US,689.77,1,5
Economy,2024-06-15,2024-06-26,2024-06-27,81631,US,104.73,1,1
Economy,2022-06-29,2022-07-16,2022-07-18,26433,US,210.58,1,2
Economy,2023-06-18,2023-06-28,2023-07-08,01671,US,1158.28,1,10
Premium,2022-07-17,2022-07-26,2022-08-01,60853,US,595.97,1,6
Economy,2024-09-19,2024-10-09,2024-10-12,99379,Japan,354.34,1,3
Standard,2022-01-03,2022-01-13,2022-01-16,44921,US,356.94,1,3
Standard,2023-06-07,2023-06-20,2023-06-27,91248,US,661.48,1,7
Standard,2023-12-05,2023-12-18,2023-12-24,63318,Mexico,800.70,3,6
Standard,2022-06-12,2022-06-25,2022-06-28,97468,US,182.62,2,3
Economy,2023-12-03,2023-12-15,2023-12-21,50446,US,540.27,2,6
Standard,2024-09-30,2024-10-21,2024-10-22,64990,Australia,83.93,1,1
Economy,2022-04-19,2022-05-03,2022-05-05,58733,US,169.96,3,2
Standard,2023-08-27,2023-09-08,2023-09-11,79194,,331.35,3,3
Standard,2024-02-29,2024-03-21,2024-03-26,43512,US,373.83,3,5
Standard,2024-02-06,2024-02-20,2024-02-26,44742,US,835.77,1,6
Standard,2024-02-25,2024-03-14,2024-03-17,53636,US,369.64,2,3
Standard,2024-01-25,2024-02-05,2024-02-08,14125,US,247.28,2,3
Standard,2022-02-28,2022-03-16,2022-03-18,00568,US,135.67,4,2
Premium,2022-02-25,2022-03-20,2022-03-24,75832,US,435.29,1,4
Standard,2024-10-02,2024-10-11,2024-10-16,32537,US,595.68,2,5
Standard,2024-06-07,2024-06-24,2024-06-30,82913,US,494.05,4,6
Standard,2022-08-29,2022-09-15,2022-09-21,99716,US,682.19,2,6
Standard,2023-08-11,2023-08-26,2023-08-30,55363,UK,512.41,1,4
Standard,2023-09-24,2023-10-10,2023-10-16,38684,US,574.02,2,6
Standard,2023-10-23,2023-11-05,2023-11-10,84819,US,592.44,1,5
Premium,2022-10-02,2022-10-20,2022-10-23,40980,,366.49,5,3
Economy,2022-03-11,2022-03-28,2022-04-05,83071,US,711.74,1,8
Economy,2024-03-21,2024-04-07,2024-04-12,24507,,601.73,2,5
Economy,2024-07-12,2024-07-24,2024-07-26,20290,US,190.71,1,2
Standard,2024-02-10,2024-02-29,2024-03-07,68236,US,946.19,4,7
Economy,2023-09-04,2023-09-17,2023-09-19,47290,US,234.67,1,2
Premium,2023-11-22,2023-12-09,2023-12-11,05226,US,204.35,1,2
Economy,2023-01-20,2023-02-11,2023-02-14,49146,US,407.34,3,3
Premium,2023-09-09,2023-09-23,2023-09-28,69888,US,548.80,2,5
Economy,2022-04-01,2022-04-17,2022-04-25,92109,Japan,844.43,1,8
Economy,2024-07-16,2024-07-29,2024-07-31,23329,France,278.55,1,2
Standard,2023-11-19,2023-12-04,2023-12-07,02213,US,317.72,1,3
Economy,2022-06-22,2022-06-30,2022-07-01,79503,US,81.49,2,1
Standard,2024-08-05,2024-08-18,2024-08-23,51248,UK,615.22,1,5
Standard,2024-11-17,2024-11-29,2024-12-02,01461,US,447.14,4,3
Economy,2023-11-14,2023-11-29,2023-12-05,84663,Canada,534.93,1,6
Economy,2022-07-09,2022-07-20,2022-07-23,71939,US,253.76,2,3
Economy,2023-11-07,2023-11-19,2023-11-21,16805,US,143.10,1,2
Standard,2022-10-04,2022-10-16,2022-10-18,74299,US,165.32,1,2
Standard,2023-01-22,2023-02-04,2023-02-07,47118,US,397.01,1,3
Standard,2024-07-02,2024-07-22,2024-07-25,18350,Japan,255.80,3,3
Standard,2022-08-17,2022-09-03,2022-09-09,76269,US,570.25,2,6
Economy,2024-08-11,2024-08-22,2024-08-25,77280,US,194.12,1,3
Standard,2022-12-16,2022-12-30,2023-01-02,80482,US,273.04,3,3
Standard,2024-08-02,2024-08-12,2024-08-16,05297,US,439.05,4,4
